tipo_identificacion,identificacion,nombres,apellidos,celular,telefono_opcional,email,email_opcional,direccion,fecha_nacimiento,estado,estado_civil
cédula de ciudadanía,2234567891,marimar,marimartiniz,1263777333,2131231,mrt6niz@sena.edu.co,3m4ar1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,2274567891,marimar,marimartiniz,1233077333,2131231,mat56niz@sena.edu.co,3mrar1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,3238567891,marimar,marimartiniz,1233777333,2131231,marimarir34iz@sena.edu.co,3mafr1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234767891,marimar,marimartiniz,1233757333,2131231,4523@sena.edu.co,3mafr1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234667891,marimar,marimartiniz,1233077333,2131231,12@sena.edu.co,marimar13v34@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1434567891,marimar,marimartiniz,1033777333,2131231,12@sena.edu.co,marimar133vx4@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1235567891,marimar,marimartiniz,0233777333,2131231,34@sena.edu.co,marimar13xs34@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234367891,marimar,marimartiniz,123777333,2131231,eeeeeeeeeee@sena.edu.co,marimars1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1567891,marimar,marimartiniz,1233777333,2131231,33333@sena.edu.co,marimarx1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,0234567891,marimar,marimartiniz,1233777333,2131231,dfd@sena.edu.co,marimar1x334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1567891,marimar,marimartiniz,1233777333,2131231,45@sena.edu.co,marimar1334x@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1264567891,marimar,marimartiniz,1233777333,2131231,2222.ez@sena.edu.co,3mxar1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1254567891,marimar,marimartiniz,1233777333,2131231,edeee-@sena.edu.co,3xmxar1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1264567891,marimar,marimartiniz,1203777333,2131231,34rrr@sena.edu.co,3mdear1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234567891,marimar,marimartiniz,1273777333,2131231,23eedd@sena.edu.co,3mdear1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234557891,marimar,marimartiniz,8233777333,2131231,3reeedd@sena.edu.co,3maeer1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234569891,marimar,marimartiniz,9233777333,2131231,34dddd@sena.edu.co,3maerr1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234560891,marimar,marimartiniz,2233777333,2131231,233dfd@sena.edu.co,3maeer1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234067891,marimar,marimartiniz,5233777333,2131231,23dffff@sena.edu.co,3maeer1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234967891,marimar,marimartiniz,3233777333,2131231,4rrrrrrrr@sena.edu.co,3meear1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234767891,marimar,marimartiniz,2203777333,2131231,2rfgffff@sena.edu.co,3meear1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1239567891,marimar,marimartiniz,1533777333,2131231,frr4423@sena.edu.co,marimaree1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1235567891,marimar,marimartiniz,1433777333,2131231,4rfrfr@sena.edu.co,3eemar1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234467891,marimar,marimartiniz,1633777333,2131231,fr322@sena.edu.co,3eeeemar1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234537891,marimar,marimartiniz,1273777333,2131231,m6art8niz@sena.edu.co,3mrrrar1334@gmail.com,calle del olmo,8-07-19,activo,soltero
cédula de ciudadanía,1234563891,marimar,marimartiniz,1203777333,2131231,34f@sena.edu.co,marimarrrr1334@gmail.com,calle del olmo,8-07-19,activo,soltero
